token,label_1,label_2,labels (1),30 classes,99.93% completed,labels (2),1,0.02% completed,Notes
freight,i-field,,,,,,,,
payable,i-field,,,,,,,,
as,O,,,,,,,,
per,b-by,,,,,,,,
charter,b-actor,,,,,,,,
party,i-actor,,,,,,,,
and,b-and,,,,,,,,
notify,b-actor,,,,,,,,
year,i-actor,,,,,,,,
corp,i-actor,,,,,,,,
.,i-actor,,,,,,,,
room,i-actor,,,,,,,,
4119,i-actor,,,,,,,,
",",i-actor,,,,,,,,
40th,i-actor,,,,,,,,
fl,i-actor,,,,,,,,
".,",i-actor,,,,,,,,
227,i-actor,,,,,,,,
tun,i-actor,,,,,,,,
hwa,i-actor,,,,,,,,
n,i-actor,,,,,,,,
.,i-actor,,,,,,,,
rd,i-actor,,,,,,,,
".,",i-actor,,,,,,,,
taipei,i-actor,,,,,,,,
",",i-actor,,,,,,,,
taiwan,i-actor,,,,,,,,
5,i-actor,,,,,,,,
),i-actor,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
independent,b-document,,,,,,,,
surveyor,i-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
report,i-document,,,,,,,,
in,O,,,,,,,,
2,b-field,,,,,,,,
originals,i-field,,,,,,,,
comprising,O,,,,,,,,
of,O,,,,,,,,
:,O,,,,,,,,
#ERROR!,b-field,,,,,,,,
certificate,b-field,,,,,,,,
of,i-field,,,,,,,,
quantity,i-field,,,,,,,,
#ERROR!,i-field,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
quality,i-field,,,,,,,,
#ERROR!,i-field,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
vessel,b-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
cleanliness,i-document,,,,,,,,
#ERROR!,i-field,,,,,,,,
master,b-field,,,,,,,,
receipt,i-document,,,,,,,,
of,i-document,,,,,,,,
sample,b-document,,,,,,,,
,,,,,,,,,
1,O,,,,,,,,
),O,,,,,,,,
beneficiary,b-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
signed,i-field,,,,,,,,
commercial,i-document,,,,,,,,
invoice,i-document,,,,,,,,
in,b-in,,,,,,,,
one,b-field,,,,,,,,
original,i-field,,,,,,,,
and,b-and,,,,,,,,
three,b-field,,,,,,,,
copies,i-field,,,,,,,,
based,O,,,,,,,,
on,O,,,,,,,,
actual,b-field,,,,,,,,
net,b-field,,,,,,,,
weight,i-field,,,,,,,,
",",O,,,,,,,,
indicating,O,,,,,,,,
the,O,,,,,,,,
description,b-field,,,,,,,,
of,b-of,,,,,,,,
goods,i-field,,,,,,,,
",",b-and,,,,,,,,
net,b-field,,,,,,,,
and,b-and,,,,,,,,
gross,b-field,,,,,,,,
weight,i-field,,,,,,,,
of,b-of,,,,,,,,
the,O,,,,,,,,
goods,b-goods,,,,,,,,
per,b-field,,,,,,,,
size,i-field,,,,,,,,
",",b-and,,,,,,,,
total,b-field,,,,,,,,
net,i-field,,,,,,,,
and,b-and,,,,,,,,
gross,b-field,,,,,,,,
weight,i-field,,,,,,,,
",",b-and,,,,,,,,
and,b-and,,,,,,,,
number,b-field,,,,,,,,
of,i-field,,,,,,,,
coils,i-field,,,,,,,,
per,b-and,,,,,,,,
size,i-field,,,,,,,,
and,b-and,,,,,,,,
in,b-field,,,,,,,,
total,b-field,,,,,,,,
.,i-field,,,,,,,,
.,O,,,,,,,,
invoice,b-document,,,,,,,,
to,O,,,,,,,,
indicate,O,,,,,,,,
fob,b-field,,,,,,,,
value,i-field,,,,,,,,
and,b-and,,,,,,,,
freight,b-field,,,,,,,,
charges,i-field,,,,,,,,
separately,O,,,,,,,,
",",O,,,,,,,,
showing,O,,,,,,,,
100,b-field,,,,,,,,
pct,i-field,,,,,,,,
.,i-field,,,,,,,,
of,b-of,,,,,,,,
the,O,,,,,,,,
amount,i-field,,,,,,,,
of,i-field,,,,,,,,
goods,i-field,,,,,,,,
.,O,,,,,,,,
2,O,,,,,,,,
),O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
of,O,,,,,,,,
3,i-field,,,,,,,,
/,i-field,,,,,,,,
3,i-field,,,,,,,,
original,i-field,,,,,,,,
plus,O,,,,,,,,
3,b-field,,,,,,,,
non,b-field,,,,,,,,
-,i-document,,,,,,,,
negotiable,i-field,,,,,,,,
copies,i-field,,,,,,,,
of,b-of,,,,,,,,
clean,b-field,,,,,,,,
',i-field,,,,,,,,
shipped,b-field,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
',i-field,,,,,,,,
ocean,b-field,,,,,,,,
bill,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
marked,O,,,,,,,,
',O,,,,,,,,
freight,b-field,,,,,,,,
prepaid,i-field,,,,,,,,
",",O,,,,,,,,
made,O,,,,,,,,
out,O,,,,,,,,
to,O,,,,,,,,
the,O,,,,,,,,
order,O,,,,,,,,
of,b-of,,,,,,,,
malayan,b-actor,,,,,,,,
banking,i-actor,,,,,,,,
ad,i-actor,,,,,,,,
",",O,,,,,,,,
notify,O,,,,,,,,
:,O,,,,,,,,
a,O,,,,,,,,
bhd,i-actor,,,,,,,,
.,i-actor,,,,,,,,
lot,i-field,,,,,,,,
61185,i-field,,,,,,,,
",",i-actor,,,,,,,,
jalan,i-actor,,,,,,,,
haji,i-actor,,,,,,,,
abdul,i-actor,,,,,,,,
manan,i-actor,,,,,,,,
",",i-actor,,,,,,,,
batu,i-actor,,,,,,,,
15,i-actor,,,,,,,,
11,i-field,,,,,,,,
/,i-field,,,,,,,,
12,i-actor,,,,,,,,
",",i-actor,,,,,,,,
off,i-actor,,,,,,,,
jalan,i-actor,,,,,,,,
meru,i-actor,,,,,,,,
",",i-actor,,,,,,,,
412250,i-actor,,,,,,,,
klang,i-actor,,,,,,,,
",",i-actor,,,,,,,,
selangor,i-actor,,,,,,,,
",",i-actor,,,,,,,,
malaysia,i-actor,,,,,,,,
.,O,,,,,,,,
.,O,,,,,,,,
bill,b-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
to,O,,,,,,,,
indicate,O,,,,,,,,
:,O,,,,,,,,
credit,b-field,,,,,,,,
number,i-field,,,,,,,,
99140dl66332201,i-field,,,,,,,,
dated,O,,,,,,,,
20,b-field,,,,,,,,
march,i-field,,,,,,,,
2020,i-field,,,,,,,,
issued,O,,,,,,,,
by,b-by,,,,,,,,
malayan,i-actor,,,,,,,,
banking,i-actor,,,,,,,,
berhad,i-actor,,,,,,,,
.,O,,,,,,,,
bill,b-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
to,O,,,,,,,,
indicate,O,,,,,,,,
shipping,b-field,,,,,,,,
marks,i-field,,,,,,,,
",",b-and,,,,,,,,
colour,b-field,,,,,,,,
marking,i-field,,,,,,,,
and,b-and,,,,,,,,
6,b-field,,,,,,,,
-,i-field,,,,,,,,
digits,i-field,,,,,,,,
hs,i-field,,,,,,,,
code,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
3,O,,,,,,,,
),O,,,,,,,,
beneficiary,b-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
in,b-in,,,,,,,,
one,b-field,,,,,,,,
original,i-field,,,,,,,,
and,b-and,,,,,,,,
three,b-field,,,,,,,,
copies,i-field,,,,,,,,
indicating,O,,,,,,,,
the,O,,,,,,,,
description,O,,,,,,,,
of,b-of,,,,,,,,
goods,i-field,,,,,,,,
",",b-and,,,,,,,,
net,b-field,,,,,,,,
and,b-and,,,,,,,,
gross,b-field,,,,,,,,
weight,i-field,,,,,,,,
of,b-of,,,,,,,,
the,O,,,,,,,,
goods,b-goods,,,,,,,,
per,b-and,,,,,,,,
size,i-field,,,,,,,,
",",b-and,,,,,,,,
total,b-field,,,,,,,,
net,b-field,,,,,,,,
and,b-and,,,,,,,,
gross,b-field,,,,,,,,
weight,i-field,,,,,,,,
",",b-and,,,,,,,,
and,b-and,,,,,,,,
number,b-field,,,,,,,,
of,i-field,,,,,,,,
coils,i-field,,,,,,,,
per,b-and,,,,,,,,
size,i-field,,,,,,,,
and,b-and,,,,,,,,
in,b-field,,,,,,,,
total,b-field,,,,,,,,
.,O,,,,,,,,
4,O,,,,,,,,
),O,,,,,,,,
beneficiary,b-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
certificate,i-document,,,,,,,,
certifying,O,,,,,,,,
that,O,,,,,,,,
the,O,,,,,,,,
carrying,i-field,,,,,,,,
vessel,i-field,,,,,,,,
is,O,,,,,,,,
of,O,,,,,,,,
acceptable,b-field,,,,,,,,
class,i-field,,,,,,,,
and,b-and,,,,,,,,
classified,b-field,,,,,,,,
by,b-by,,,,,,,,
iacs,b-actor,,,,,,,,
member,i-actor,,,,,,,,
and,b-and,,,,,,,,
must,O,,,,,,,,
not,O,,,,,,,,
exceed,O,,,,,,,,
twenty,b-field,,,,,,,,
-,i-field,,,,,,,,
five,i-field,,,,,,,,
(,i-field,,,,,,,,
25,i-field,,,,,,,,
),i-field,,,,,,,,
years,i-field,,,,,,,,
old,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
5,b-field,,,,,,,,
),O,,,,,,,,
beneficiary,b-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
certificate,i-document,,,,,,,,
certifying,O,,,,,,,,
that,O,,,,,,,,
details,O,,,,,,,,
of,b-of,,,,,,,,
vessel,b-field,,,,,,,,
(,i-field,,,,,,,,
such,b-and,,,,,,,,
as,b-and,,,,,,,,
flag,b-field,,,,,,,,
/,i-field,,,,,,,,
build,b-field,,,,,,,,
/,i-field,,,,,,,,
class,b-field,,,,,,,,
/,i-field,,,,,,,,
gross,b-field,,,,,,,,
tonnage,i-field,,,,,,,,
),i-field,,,,,,,,
and,b-and,,,,,,,,
the,O,,,,,,,,
following,O,,,,,,,,
documents,i-document,,,,,,,,
have,O,,,,,,,,
been,O,,,,,,,,
emailed,O,,,,,,,,
to,b-to,,,,,,,,
applicant,b-actor,,,,,,,,
(,i-field,,,,,,,,
email,i-field,,,,,,,,
:,i-field,,,,,,,,
yuey,i-field,,,,,,,,
@,i-field,,,,,,,,
mz,i-field,,,,,,,,
.,i-field,,,,,,,,
com,i-field,,,,,,,,
.,i-field,,,,,,,,
sg,i-field,,,,,,,,
and,i-field,,,,,,,,
sales,i-field,,,,,,,,
@,i-field,,,,,,,,
mez,i-field,,,,,,,,
.,i-field,,,,,,,,
com,i-field,,,,,,,,
.,i-field,,,,,,,,
sg,i-field,,,,,,,,
),i-field,,,,,,,,
within,b-within,,,,,,,,
3,b-field,,,,,,,,
working,i-field,,,,,,,,
days,i-field,,,,,,,,
after,b-after,,,,,,,,
shipment,b-field,,,,,,,,
date,i-field,,,,,,,,
.,O,,,,,,,,
#ERROR!,b-field,,,,,,,,
copy,b-field,,,,,,,,
of,b-of,,,,,,,,
signed,b-field,,,,,,,,
bill,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
#ERROR!,b-field,,,,,,,,
commercial,b-document,,,,,,,,
invoice,i-document,,,,,,,,
#ERROR!,i-field,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
#ERROR!,i-field,,,,,,,,
mill,b-document,,,,,,,,
test,i-document,,,,,,,,
certificate,i-document,,,,,,,,
(,O,,,,,,,,
in,O,,,,,,,,
pdf,b-field,,,,,,,,
and,i-field,,,,,,,,
excel,b-field,,,,,,,,
format,i-field,,,,,,,,
),i-field,,,,,,,,
#ERROR!,O,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
origin,i-document,,,,,,,,
issued,O,,,,,,,,
by,b-by,,,,,,,,
any,O,,,,,,,,
chamber,b-actor,,,,,,,,
of,i-actor,,,,,,,,
commerce,i-actor,,,,,,,,
in,i-actor,,,,,,,,
japan,i-actor,,,,,,,,
#ERROR!,O,,,,,,,,
mill,b-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
detailed,i-document,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
,,,,,,,,,
6,b-field,,,,,,,,
),O,,,,,,,,
beneficiary,b-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
certificate,i-document,,,,,,,,
confirming,O,,,,,,,,
that,O,,,,,,,,
the,O,,,,,,,,
following,O,,,,,,,,
shipping,i-document,,,,,,,,
documents,i-document,,,,,,,,
have,O,,,,,,,,
been,O,,,,,,,,
couriered,O,,,,,,,,
directly,O,,,,,,,,
to,b-to,,,,,,,,
applicant,b-actor,,,,,,,,
within,b-within,,,,,,,,
3,b-field,,,,,,,,
working,i-field,,,,,,,,
days,i-field,,,,,,,,
after,b-after,,,,,,,,
shipment,b-field,,,,,,,,
date,i-field,,,,,,,,
:,O,,,,,,,,
#ERROR!,b-field,,,,,,,,
3,b-field,,,,,,,,
copies,i-field,,,,,,,,
of,b-of,,,,,,,,
non,b-document,,,,,,,,
-,i-document,,,,,,,,
negotiable,i-document,,,,,,,,
bill,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
#ERROR!,i-field,,,,,,,,
3,b-field,,,,,,,,
copies,i-field,,,,,,,,
of,b-of,,,,,,,,
commercial,b-document,,,,,,,,
invoice,i-document,,,,,,,,
#ERROR!,i-field,,,,,,,,
3,b-field,,,,,,,,
copies,i-field,,,,,,,,
of,b-of,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
#ERROR!,i-field,,,,,,,,
3,b-field,,,,,,,,
original,b-field,,,,,,,,
mill,i-document,,,,,,,,
test,i-document,,,,,,,,
certificate,i-document,,,,,,,,
#ERROR!,i-field,,,,,,,,
original,b-field,,,,,,,,
and,b-and,,,,,,,,
2,b-field,,,,,,,,
signed,i-field,,,,,,,,
copies,i-field,,,,,,,,
of,b-of,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
origin,i-document,,,,,,,,
issued,O,,,,,,,,
by,b-by,,,,,,,,
any,O,,,,,,,,
chamber,b-actor,,,,,,,,
of,i-actor,,,,,,,,
commerce,i-actor,,,,,,,,
in,i-actor,,,,,,,,
japan,i-actor,,,,,,,,
=+,i-field,,,,,,,,
3,b-field,,,,,,,,
original,b-field,,,,,,,,
mill,i-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
detailed,i-document,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
7,b-field,,,,,,,,
),O,,,,,,,,
beneficiary,b-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
certificate,i-document,,,,,,,,
to,O,,,,,,,,
certify,O,,,,,,,,
that,O,,,,,,,,
the,O,,,,,,,,
goods,b-goods,,,,,,,,
have,O,,,,,,,,
been,O,,,,,,,,
shipped,O,,,,,,,,
under,i-field,,,,,,,,
deck,b-field,,,,,,,,
and,b-and,,,,,,,,
stowed,O,,,,,,,,
away,O,,,,,,,,
from,b-of,,,,,,,,
fertilizers,b-document,,,,,,,,
",",b-and,,,,,,,,
acids,b-field,,,,,,,,
and,b-and,,,,,,,,
other,b-field,,,,,,,,
corrosive,i-document,,,,,,,,
chemicals,i-document,,,,,,,,
compound,i-field,,,,,,,,
which,O,,,,,,,,
caused,b-document,,,,,,,,
oxidation,b-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,b-field,,,,,,,,
),O,,,,,,,,
signed,b-field,,,,,,,,
commercial,b-document,,,,,,,,
invoice,i-document,,,,,,,,
in,b-in,,,,,,,,
3,b-field,,,,,,,,
originals,i-field,,,,,,,,
.,O,,,,,,,,
2,b-field,,,,,,,,
),O,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
in,b-in,,,,,,,,
3,b-field,,,,,,,,
originals,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
3,O,,,,,,,,
),O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
original,b-field,,,,,,,,
clean,b-document,,,,,,,,
',i-document,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
',i-document,,,,,,,,
ocean,i-document,,,,,,,,
bills,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
made,O,,,,,,,,
out,O,,,,,,,,
to,O,,,,,,,,
the,O,,,,,,,,
order,O,,,,,,,,
of,b-of,,,,,,,,
applicant,b-actor,,,,,,,,
",",b-and,,,,,,,,
marked,b-field,,,,,,,,
freight,i-field,,,,,,,,
prepaid,i-field,,,,,,,,
and,b-and,,,,,,,,
notify,b-actor,,,,,,,,
applicant,i-actor,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
4,O,,,,,,,,
),O,,,,,,,,
marine,b-document,,,,,,,,
insurance,i-document,,,,,,,,
policy,i-document,,,,,,,,
or,b-or,,,,,,,,
certificate,b-document,,,,,,,,
in,b-in,,,,,,,,
negotiable,i-document,,,,,,,,
form,i-document,,,,,,,,
and,b-and,,,,,,,,
blank,b-field,,,,,,,,
endorsed,O,,,,,,,,
for,O,,,,,,,,
full,b-field,,,,,,,,
cif,b-document,,,,,,,,
value,i-field,,,,,,,,
plus,O,,,,,,,,
10,b-field,,,,,,,,
per,i-field,,,,,,,,
cent,i-field,,,,,,,,
covering,O,,,,,,,,
institute,b-field,,,,,,,,
cargo,i-field,,,,,,,,
clauses,i-document,,,,,,,,
(,i-field,,,,,,,,
a,i-field,,,,,,,,
"),",i-field,,,,,,,,
institute,b-field,,,,,,,,
war,i-document,,,,,,,,
clauses,i-document,,,,,,,,
(,i-field,,,,,,,,
cargo,i-field,,,,,,,,
),i-field,,,,,,,,
and,b-and,,,,,,,,
institute,b-field,,,,,,,,
strikes,i-document,,,,,,,,
clauses,i-document,,,,,,,,
(,O,,,,,,,,
cargo,i-field,,,,,,,,
),O,,,,,,,,
evidencing,O,,,,,,,,
claims,b-document,,,,,,,,
payable,O,,,,,,,,
at,b-after,,,,,,,,
destination,b-field,,,,,,,,
in,O,,,,,,,,
the,O,,,,,,,,
currency,b-field,,,,,,,,
of,b-of,,,,,,,,
the,O,,,,,,,,
dc,b-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,b-field,,,,,,,,
),O,,,,,,,,
signed,b-field,,,,,,,,
commercial,b-document,,,,,,,,
invoice,i-document,,,,,,,,
in,b-in,,,,,,,,
3,b-field,,,,,,,,
originals,i-field,,,,,,,,
.,O,,,,,,,,
2,b-field,,,,,,,,
),O,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
in,b-in,,,,,,,,
3,b-field,,,,,,,,
originals,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
3,O,,,,,,,,
),O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
original,b-field,,,,,,,,
clean,b-document,,,,,,,,
',i-document,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
',i-document,,,,,,,,
ocean,i-document,,,,,,,,
bills,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
made,O,,,,,,,,
out,O,,,,,,,,
to,O,,,,,,,,
the,O,,,,,,,,
order,O,,,,,,,,
of,b-of,,,,,,,,
applicant,b-actor,,,,,,,,
",",b-and,,,,,,,,
marked,b-field,,,,,,,,
freight,i-field,,,,,,,,
prepaid,i-field,,,,,,,,
and,b-and,,,,,,,,
notify,b-actor,,,,,,,,
applicant,i-actor,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
4,O,,,,,,,,
),O,,,,,,,,
marine,b-document,,,,,,,,
insurance,i-document,,,,,,,,
policy,i-document,,,,,,,,
or,b-or,,,,,,,,
certificate,b-document,,,,,,,,
in,b-in,,,,,,,,
negotiable,i-document,,,,,,,,
form,i-document,,,,,,,,
and,b-and,,,,,,,,
blank,b-field,,,,,,,,
endorsed,O,,,,,,,,
for,O,,,,,,,,
full,b-field,,,,,,,,
cif,b-document,,,,,,,,
value,i-field,,,,,,,,
plus,O,,,,,,,,
10,b-field,,,,,,,,
per,i-field,,,,,,,,
cent,i-field,,,,,,,,
covering,O,,,,,,,,
institute,b-field,,,,,,,,
cargo,i-field,,,,,,,,
clauses,i-document,,,,,,,,
(,i-field,,,,,,,,
a,i-field,,,,,,,,
"),",i-field,,,,,,,,
institute,b-field,,,,,,,,
war,i-document,,,,,,,,
clauses,i-document,,,,,,,,
(,i-field,,,,,,,,
cargo,i-field,,,,,,,,
),i-field,,,,,,,,
and,b-and,,,,,,,,
institute,b-field,,,,,,,,
strikes,i-document,,,,,,,,
clauses,i-document,,,,,,,,
(,O,,,,,,,,
cargo,i-field,,,,,,,,
),O,,,,,,,,
evidencing,O,,,,,,,,
claims,b-document,,,,,,,,
payable,O,,,,,,,,
at,b-after,,,,,,,,
destination,b-field,,,,,,,,
in,O,,,,,,,,
the,O,,,,,,,,
currency,b-field,,,,,,,,
of,b-of,,,,,,,,
the,O,,,,,,,,
dc,b-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
(,O,,,,,,,,
a,O,,,,,,,,
),O,,,,,,,,
list,O,,,,,,,,
of,O,,,,,,,,
documents,i-document,,,,,,,,
to,O,,,,,,,,
be,O,,,,,,,,
presented,O,,,,,,,,
for,i-document,,,,,,,,
provisional,b-document,,,,,,,,
invoice,i-document,,,,,,,,
payment,i-document,,,,,,,,
:,O,,,,,,,,
1,O,,,,,,,,
),O,,,,,,,,
beneficiary,b-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
signed,i-field,,,,,,,,
provisional,i-document,,,,,,,,
invoice,i-document,,,,,,,,
.,O,,,,,,,,
2,O,,,,,,,,
),O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
of,O,,,,,,,,
original,b-field,,,,,,,,
clean,b-document,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
charter,i-document,,,,,,,,
party,i-document,,,,,,,,
bills,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
",",O,,,,,,,,
made,O,,,,,,,,
out,i-document,,,,,,,,
to,i-field,,,,,,,,
order,i-field,,,,,,,,
",",b-and,,,,,,,,
blank,b-field,,,,,,,,
endorsed,i-field,,,,,,,,
",",b-and,,,,,,,,
marked,b-field,,,,,,,,
',i-field,,,,,,,,
feight,b-field,,,,,,,,
payable,i-field,,,,,,,,
as,i-field,,,,,,,,
per,i-field,,,,,,,,
charter,b-document,,,,,,,,
party,i-field,,,,,,,,
',i-document,,,,,,,,
and,b-and,,,,,,,,
notify,b-document,,,,,,,,
to,i-field,,,,,,,,
order,i-document,,,,,,,,
.,b-with,,,,,,,,
(,O,,,,,,,,
b,O,,,,,,,,
),O,,,,,,,,
in,O,,,,,,,,
the,O,,,,,,,,
event,O,,,,,,,,
that,O,,,,,,,,
the,O,,,,,,,,
final,b-field,,,,,,,,
price,i-field,,,,,,,,
is,O,,,,,,,,
higher,b-field,,,,,,,,
than,i-field,,,,,,,,
the,O,,,,,,,,
provisional,b-field,,,,,,,,
price,i-field,,,,,,,,
quoted,i-field,,,,,,,,
in,b-in,,,,,,,,
the,O,,,,,,,,
previous,b-field,,,,,,,,
drawing,i-field,,,,,,,,
under,O,,,,,,,,
this,O,,,,,,,,
credit,i-document,,,,,,,,
and,b-and,,,,,,,,
/,O,,,,,,,,
or,O,,,,,,,,
a,O,,,,,,,,
freight,b-field,,,,,,,,
adjustment,i-field,,,,,,,,
is,O,,,,,,,,
required,O,,,,,,,,
",",O,,,,,,,,
the,O,,,,,,,,
excess,b-field,,,,,,,,
amount,i-field,,,,,,,,
is,O,,,,,,,,
payable,O,,,,,,,,
against,O,,,,,,,,
presentation,O,,,,,,,,
of,O,,,,,,,,
beneficiary,b-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
drafts,i-document,,,,,,,,
and,b-and,,,,,,,,
the,O,,,,,,,,
following,O,,,,,,,,
documents,O,,,,,,,,
within,O,,,,,,,,
the,O,,,,,,,,
validity,b-field,,,,,,,,
of,O,,,,,,,,
the,O,,,,,,,,
credit,b-document,,,,,,,,
:,O,,,,,,,,
1,O,,,,,,,,
),O,,,,,,,,
signed,b-field,,,,,,,,
debit,i-document,,,,,,,,
note,i-document,,,,,,,,
and,b-and,,,,,,,,
/,O,,,,,,,,
or,O,,,,,,,,
credt,b-field,,,,,,,,
note,i-document,,,,,,,,
(,O,,,,,,,,
if,O,,,,,,,,
applicable,O,,,,,,,,
).,O,,,,,,,,
,,,,,,,,,
#ERROR!,b-field,,,,,,,,
part,O,,,,,,,,
a,O,,,,,,,,
:,O,,,,,,,,
provisional,b-document,,,,,,,,
invoice,i-document,,,,,,,,
payment,i-document,,,,,,,,
will,O,,,,,,,,
be,O,,,,,,,,
paid,O,,,,,,,,
at,b-after,,,,,,,,
sight,b-field,,,,,,,,
against,O,,,,,,,,
presentation,O,,,,,,,,
of,O,,,,,,,,
the,O,,,,,,,,
following,O,,,,,,,,
documents,O,,,,,,,,
within,b-within,,,,,,,,
35,b-field,,,,,,,,
days,i-field,,,,,,,,
after,b-after,,,,,,,,
the,O,,,,,,,,
shipment,b-field,,,,,,,,
date,i-field,,,,,,,,
but,b-and,,,,,,,,
within,O,,,,,,,,
the,O,,,,,,,,
validity,b-field,,,,,,,,
of,O,,,,,,,,
this,O,,,,,,,,
credit,i-document,,,,,,,,
:,O,,,,,,,,
1,O,,,,,,,,
),O,,,,,,,,
beneficiary,b-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
signed,b-field,,,,,,,,
provisional,b-document,,,,,,,,
invoice,i-document,,,,,,,,
in,b-in,,,,,,,,
3,b-field,,,,,,,,
originals,i-field,,,,,,,,
covering,O,,,,,,,,
100,b-field,,,,,,,,
pct,i-field,,,,,,,,
of,i-field,,,,,,,,
the,O,,,,,,,,
cfr,i-field,,,,,,,,
shipment,i-field,,,,,,,,
value,i-field,,,,,,,,
",",b-and,,,,,,,,
including,O,,,,,,,,
fob,b-field,,,,,,,,
product,i-field,,,,,,,,
value,i-field,,,,,,,,
and,b-and,,,,,,,,
ocean,b-field,,,,,,,,
freight,i-field,,,,,,,,
value,i-field,,,,,,,,
and,b-and,,,,,,,,
extra,b-field,,,,,,,,
charge,i-field,,,,,,,,
value,i-field,,,,,,,,
",",O,,,,,,,,
stating,O,,,,,,,,
name,b-field,,,,,,,,
of,i-field,,,,,,,,
carrying,i-field,,,,,,,,
vessel,i-field,,,,,,,,
",",b-and,,,,,,,,
l,b-field,,,,,,,,
/,i-field,,,,,,,,
c,i-field,,,,,,,,
number,i-field,,,,,,,,
and,b-and,,,,,,,,
issued,b-field,,,,,,,,
date,i-field,,,,,,,,
",",b-and,,,,,,,,
contract,b-field,,,,,,,,
number,i-field,,,,,,,,
gcpsus,i-field,,,,,,,,
-,i-field,,,,,,,,
2020a,i-field,,,,,,,,
-,i-field,,,,,,,,
cfr,i-field,,,,,,,,
.,i-field,,,,,,,,
2,O,,,,,,,,
),O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
of,O,,,,,,,,
3,b-field,,,,,,,,
/,i-field,,,,,,,,
3,i-field,,,,,,,,
original,i-field,,,,,,,,
clean,b-document,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
ocean,i-document,,,,,,,,
bills,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
",",O,,,,,,,,
made,O,,,,,,,,
out,O,,,,,,,,
to,O,,,,,,,,
order,b-field,,,,,,,,
",",O,,,,,,,,
blank,b-field,,,,,,,,
endorsed,i-field,,,,,,,,
",",O,,,,,,,,
